Part number;Size;Colour;Barcode;File name;Short description;Long description;RRP;VAT;Trade;Box Qty;Brand;Search 1;Search 2;Cat A;Cat B;Cat C;Year;Item group;Retail group;Product group;Net price 440056;Net price 450141;Net price 411578
"290000000";OSO;Grey;"4718905989790";;SLR WHEELSYSTEM CARBON BRAKE PADS;;14.99;20,00;12.49;1;Giant;Brake Pad and Rotor;;Gear;Component-S;Men's;2022;157B;;16carbonbrakepad;8,12;6,25;6,25
"290000001";OSO;Black;"4718905869511";;3xC CALIPER PAD/HOLDER;;11.99;20,00;9.99;1;Giant;Brake Pad and Rotor;;Gear;Component-S;Men's;2022;157B;;15tricompcaliperhold;6,49;5,00;5,00
"290000002";OSO;Black;"4718905869528";;3xC CALIPER REPLACEMENT PAD;;7.99;20,00;6.66;1;Giant;Brake Pad and Rotor;;Gear;Component-S;Men's;2022;157B;;15tricompcaliperpad;4,33;3,33;3,33
"290000003";OSO;Black;"4718905869535";;CALIPER PAD/HOLDER;;11.99;20,00;9.99;1;Giant;Brake Pad and Rotor;;Gear;Component-S;Men's;2022;157B;;15caliperhold;6,49;5,00;5,00
"290000004";OSO;Black;"4718905869542";;CALIPER REPLACEMENT PAD;;7.99;20,00;6.66;1;Giant;Brake Pad and Rotor;;Gear;Component-S;Men's;2022;157B;;15caliperpad;4,33;3,33;3,33
"290000005";OSO;Black;"4718905869559";;3C V-BRAKE PAD/HOLDER;;11.99;20,00;9.99;1;Giant;Brake Pad and Rotor;;Gear;Component-S;Men's;2022;157B;;15tricompvbrakehold;6,49;5,00;5,00
"290000006";OSO;Black;"4718905869566";;3xC V-BRAKE REPLACEMENT PAD;;7.99;20,00;6.66;1;Giant;Brake Pad and Rotor;;Gear;Component-S;Men's;2022;157B;;15tricompvbrakepad;4,33;3,33;3,33
"290000007";OSO;Black;"4718905869573";;GIANT V-BRAKE PAD/HOLDER;;11.99;20,00;9.99;1;Giant;Brake Pad and Rotor;;Gear;Component-S;Men's;2022;157B;;15vbrakehold;6,49;5,00;5,00
"290000008";OSO;Black;"4718905869580";;V-BRAKE REPLACEMENT PAD;;7.99;20,00;6.66;1;Giant;Brake Pad and Rotor;;Gear;Component-S;Men's;2022;157B;;15vbrakepad;4,33;3,33;3,33
"290000019";OSO;Black;"4718905869696";;SPORT DISC PAD - GIANT CONDUCT/ROOT/SHIMANO MECHANICAL (M355);;9.99;20,00;8.33;1;Giant;Brake Pad and Rotor;;Gear;Component-S;Men's;2022;157B;;sportpads;5,41;4,17;4,17
"290000020";OSO;Black;"4718905869702";;SPORT DISC PAD-TEKTRO IOX/NOVELA;;9.99;20,00;8.33;1;Giant;Brake Pad and Rotor;;Gear;Component-S;Men's;2022;157B;;sportpadstektro;5,41;4,17;4,17
"290000031";Post Mount;Black;"4718905792833";;Conduct Hydraulic Disc Brakes - Body-Post disc mount version w/o Rotor;;119.99;20,00;64.99;1;GIANT;Disc Brake;;Gear;Component-S;Men's;2021;157A;;;64,99;64,99;64,99
"290000032";Flat Mount;Black;"4718905792840";;Conduct Hydraulic Disc Brakes - Body-Flat disc mount version w/o Rotor;;119.99;20,00;64.99;1;GIANT;Disc Brake;;Gear;Component-S;Men's;2021;157A;;;64,99;64,99;64,99
"290000033";140MM;Black;"4718905792857";;Conduct Hydraulic Disc Brakes - rotor 140mm;;14.99;20,00;8.12;1;Giant;Brake Pad and Rotor;;Gear;Component-S;Men's;2022;157B;;conductrotors;8,12;8,12;8,12
"290000034";160MM;Black;"4718905792864";;Conduct Hydraulic Disc Brakes - rotor 160mm;;14.99;20,00;8.12;1;Giant;Brake Pad and Rotor;;Gear;Component-S;Men's;2022;157B;;conductrotors;8,12;8,12;8,12
"290000040";160MM;Black;"4718905794271";;Conduct Hydraulic Disc Brakes - Calipers adapters Post mount 160mm single piece;;7.99;20,00;4.33;1;GIANT;Brake small parts;;Gear;Component-S;Men's;2020;157F;;conductmounts;4,33;4,33;4,33
"290000041";140MM;Black;"4718905794288";;Conduct Hydraulic Disc Brakes - Flat mount adapter front 140/160mm single piece;;7.99;20,00;4.33;1;GIANT;Brake small parts;;Gear;Component-S;Men's;2020;157F;;conductmounts;4,33;4,33;4,33
"290000042";160MM;Black;"4718905794295";;Conduct Hydraulic Disc Brakes - Flat mount adapter Rear 160mm single piece;;7.99;20,00;4.33;1;GIANT;Brake small parts;;Gear;Component-S;Men's;2020;157F;;;4,33;4,33;4,33
"290000045";OSO;Black;"4718905794325";;Conduct Hydraulic Disc Brakes - Calipers post mount single piece;;24.99;20,00;13.54;1;GIANT;Brake small parts;;Gear;Component-S;Men's;2020;157F;;;13,54;13,54;13,54
"290000053";OSO;Black;"4713250839639";;CONDUCT SL HYDRAULIC DISC BRAKES - MASTER CYLINDER BODY;;89.99;20,00;48.74;1;Giant;Brake small parts;;Gear;Component-S;Men's;2021;157F;;19conductmaster;48,74;48,74;48,74
"290000054";Post Mount;Black;"4713250839646";;CONDUCT SL HYDRAULIC DISC BRAKES - BODY-POST DISC MOUNT VERSION / WITHOUT ROTOR;;149.99;20,00;81.24;1;Giant;Disc Brake;;Gear;Component-S;Men's;2021;157A;;19conductpostmount;81,24;81,24;81,24
"290000057";;Black;"4713250851716";;CADEX CARBON RIM BRAKE PADS 2PCS FOR 1 WHEEL;;19.99;20,00;10.83;1;CADEX;Brake Pad and Rotor;;Gear;Component-S;Men's;2022;157B;;20cadexrimpads;10,83;10,83;10,83
"290000058";;;"4713250062716";;CADEX CENTER LOCK RINGS;;19.99;20,00;10.83;1;CADEX;Disc Brake;;Gear;Component-S;Men's;2024;157A;;;10,83;10,83;10,83
"300000003";142/12;Black;"4718905992875";;RWS 12X142MM THRU-AXLE SKEWER;;27.99;20,00;15.16;1;GIANT;QR skewer;;Gear;Component-S;Men's;2020;158A;;17giantdt14212thru;15,16;15,16;15,16
"300000028";OSO;;"4718905908975";;SLEEVE OD:11MM/ 12.5MM FOR DT TENSIO TENSIOMETER;;9.99;20,00;5.41;1;Giant;Shop tool;;Gear;Service Gear-S;Men's;2022;251B;;23sleeveod;5,41;5,41;5,41
"300000029";OSO;Black;"4718905908982";;SPOKE HOLDER FOR TCS SPOKE;;24.99;20,00;13.54;1;Giant;Shop tool;;Gear;Service Gear-S;Men's;2022;251B;;19spokeholder;13,54;13,54;13,54
"300000032";OSO;Black;"4718905776185";;CENTERLOCK ADAPTER;;11.99;20,00;6.49;1;Giant;Hub;;Gear;Component-S;Men's;2022;158B;;17giantcentrelockad;6,49;6,49;6,49
"300000033";177MM;Black;"4718905793038";;ON ROAD THRU AXLE FOR TRAINER 177MM;;24.99;20,00;13.54;1;Giant;QR skewer;;Gear;Component-S;Men's;2022;158A;;17thruaxtrainer;13,54;13,54;13,54
"300000034";Front;Black;"4718905793083";;MY17 TCR & DEFY DISC BRAKE Front Thru-Axle;;24.99;20,00;13.54;1;Giant;QR skewer;;Gear;Component-S;Men's;2022;158A;;17tcrdefydiscthru;13,54;13,54;13,54
"300000035";Rear;Black;"4718905793090";;MY17 TCR & DEFY DISC BRAKE Rear Thru-Axle;;24.99;20,00;13.54;1;Giant;QR skewer;;Gear;Component-S;Men's;2022;158A;;17tcrdefydiscthru;13,54;13,54;13,54
